Object Unique ID,Begin date,Date:creation,End date,Title,he_counts,she_counts,word_counts
http://library.ucsd.edu/ark:/20775/bb8806609v,1977-10-11,"October 11-25, 1977",1977-10-25,The New Indicator,3,5,5923
http://library.ucsd.edu/ark:/20775/bb2970379j,1978-02-07,"February 7-20, 1978",1978-02-20,The New Indicator,11,0,6107
http://library.ucsd.edu/ark:/20775/bb60420770,1969-11-12,"November 12, 1969",1969-11-12,The Indicator,41,1,13904
http://library.ucsd.edu/ark:/20775/bb6519900h,1985-09-25,"September 25, 1985",1985-09-25,The University Report,32,4,18034
http://library.ucsd.edu/ark:/20775/bb65198992,1986-02-01,February 1986,1986-02-28,California Review,68,9,21735
http://library.ucsd.edu/ark:/20775/bb4403839b,1983-12-01,Winter 1983,1983-02-28,Revellations,5,9,4391
http://library.ucsd.edu/ark:/20775/bb8431179p,1982-04-27,"April 27-May 10, 1982",1982-05-10,The New Indicator,35,7,20514
http://library.ucsd.edu/ark:/20775/bb4813399r,1991-10-30,"October 30, 1991",1991-10-30,Revellations,0,0,3871
http://library.ucsd.edu/ark:/20775/bb6963590v,1988-02-08,"February 8-22, 1988",1988-02-22,The New Indicator,38,13,14668
http://library.ucsd.edu/ark:/20775/bb97281184,1977-11-01,November 1977,1977-11-30,Revellations,3,0,2428
http://library.ucsd.edu/ark:/20775/bb59396880,1970-11-04,"November 4, 1970",1970-11-04,Third World,7,17,6976
http://library.ucsd.edu/ark:/20775/bb6519898j,1965-05-12,"May 12, 1965",1965-05-12,Sandscript,3,0,3931
http://library.ucsd.edu/ark:/20775/bb3482326c,1966-02-25,"February 25, 1966",1966-02-25,Sandscript,11,0,4495
http://library.ucsd.edu/ark:/20775/bb8055747x,1980-10-21,"October 21-November 3, 1980",1980-11-03,The New Indicator,37,0,13755
http://library.ucsd.edu/ark:/20775/bb22195182,1990-10-21,"October 21-November 14, 1990",1990-11-14,The New Indicator,10,3,15703
http://library.ucsd.edu/ark:/20775/bb06154066,1985-05-21,"May 21-June 3, 1985",1985-06-03,The New Indicator,24,7,15718
http://library.ucsd.edu/ark:/20775/bb96939916,1976-10-01,October 1976,1976-10-31,The New Indicator,86,5,33474
http://library.ucsd.edu/ark:/20775/bb61444680,1982-11-01,November-December 1982,1982-12-31,California Review,34,2,25697
http://library.ucsd.edu/ark:/20775/bb08884477,1987-02-03,"February 3-16, 1987",1987-02-16,The New Indicator,21,2,14908
http://library.ucsd.edu/ark:/20775/bb6212731n,1986-01-14,"January 14-28, 1986",1986-01-28,The New Indicator,13,1,13489
http://library.ucsd.edu/ark:/20775/bb82263981,1974-04-16,"April 16-30, 1974",1974-04-30,North Star,41,9,17636
http://library.ucsd.edu/ark:/20775/bb3789499p,1983-05-17,"May 17-30, 1983",1983-05-30,The New Indicator,53,17,21899
http://library.ucsd.edu/ark:/20775/bb3687107s,1974-06-01,June 1974,1974-06-30,Prensa Popular,19,1,20435
http://library.ucsd.edu/ark:/20775/bb4164932t,1986-05-13,"May 13-26, 1986",1986-05-26,The New Indicator,38,2,13729
http://library.ucsd.edu/ark:/20775/bb4711009w,1989-03-01,"March 1, 1989",1989-03-01,Revellations,6,3,4269
http://library.ucsd.edu/ark:/20775/bb0854321x,2003-06-06,"June 6, 2003",2003-06-06,California Review,22,4,17253
http://library.ucsd.edu/ark:/20775/bb7850966n,1993-06-01,June 1993,1993-06-30,The New Indicator,59,22,34304
http://library.ucsd.edu/ark:/20775/bb92844306,1981-02-17,"February 17-March 3, 1981",1981-03-03,The New Indicator,79,12,27642
http://library.ucsd.edu/ark:/20775/bb6758809h,1989-09-27,"September 27-October 10, 1989",1989-10-10,The New Indicator,11,1,9993
http://library.ucsd.edu/ark:/20775/bb0683671q,1977-06-01,June 1977,1977-06-30,The New Indicator,65,20,21041
http://library.ucsd.edu/ark:/20775/bb9693990p,1987-03-03,"March 3-30, 1987",1987-03-30,The New Indicator,33,5,16836
http://library.ucsd.edu/ark:/20775/bb8226397h,1965-04-07,"April 7, 1965",1965-04-07,Sandscript,2,0,1992
http://library.ucsd.edu/ark:/20775/bb93526881,1983-11-30,"November 30-January 4, 1983",1983-01-04,The New Indicator,3,1,1672
http://library.ucsd.edu/ark:/20775/bb35505893,1987-04-10,"April 10, 1987",1987-04-10,Revellations,5,0,4256
http://library.ucsd.edu/ark:/20775/bb5939689h,1980-11-04,"November 4-17, 1980",1980-11-17,The New Indicator,21,0,21298
http://library.ucsd.edu/ark:/20775/bb4608618q,1987-01-16,"January 16, 1987",1987-01-16,Revellations,2,14,5474
http://library.ucsd.edu/ark:/20775/bb5222962k,1978-10-03,"October 3-16, 1978",1978-10-16,The New Indicator,15,4,9586
http://library.ucsd.edu/ark:/20775/bb7168367r,1992-12-01,Winter 1992,1992-02-28,Momentum,7,1,7307
http://library.ucsd.edu/ark:/20775/bb3584716v,1987-01-06,"January 6-20, 1987",1987-01-20,The New Indicator,28,1,18280
http://library.ucsd.edu/ark:/20775/bb7407278n,1974-03-04,"March 4-17, 1974",1974-03-17,North Star,41,4,15069
http://library.ucsd.edu/ark:/20775/bb2765599d,1967-05-24,"May 24, 1967",1967-05-24,The Indicator,43,5,13313
http://library.ucsd.edu/ark:/20775/bb0001069r,1966-06-03,"June 3, 1966",1966-06-03,Sandscript,13,0,9695
http://library.ucsd.edu/ark:/20775/bb6144467g,1983-11-22,"November 22-December 5, 1983",1983-12-05,The New Indicator,30,3,14286
http://library.ucsd.edu/ark:/20775/bb5393606t,1989-01-17,"January 17-31, 1989",1989-01-31,The New Indicator,10,0,4723
http://library.ucsd.edu/ark:/20775/bb0888446q,1979-06-01,June 1979,1979-06-30,People's Voice,129,0,15646
http://library.ucsd.edu/ark:/20775/bb6827071z,1986-04-01,April 1986,1986-04-30,California Review,68,10,18874
http://library.ucsd.edu/ark:/20775/bb8806608b,1994-05-01,May 1994,1994-05-31,Momentum,6,3,6095
http://library.ucsd.edu/ark:/20775/bb3550588k,1984-06-12,"June 12-September 25, 1984",1984-09-25,The New Indicator,37,10,15270
http://library.ucsd.edu/ark:/20775/bb57349097,2003-04-01,"April 1, 2003",2003-04-01,California Review,8,11,4199
http://library.ucsd.edu/ark:/20775/bb1571048z,1987-05-08,"May 8, 1987",1987-05-08,Revellations,34,30,5245
http://library.ucsd.edu/ark:/20775/bb71683688,1992-10-01,October 1992,1992-10-31,Momentum,9,3,7080
http://library.ucsd.edu/ark:/20775/bb06154087,1987-04-24,"April 24, 1987",1987-04-24,Revellations,16,6,5072
http://library.ucsd.edu/ark:/20775/bb29703781,1992-04-01,April 1992,1992-04-30,Revellations,0,0,1824
http://library.ucsd.edu/ark:/20775/bb90796502,1991-02-01,February 1991,1991-02-28,Revellations,13,8,5474
http://library.ucsd.edu/ark:/20775/bb6144466z,1988-09-01,September 1988,1988-09-30,California Review,6,1,5588
http://library.ucsd.edu/ark:/20775/bb7612058s,1986-03-11,"March 11-31, 1986",1986-03-31,The New Indicator,39,10,20506
http://library.ucsd.edu/ark:/20775/bb8055749z,1980-05-13,"May 13-26, 1980",1980-05-26,The New Indicator,18,3,13164
http://library.ucsd.edu/ark:/20775/bb1809959p,2002-03-01,March 2002,2002-03-31,The New Indicator,45,6,20040
http://library.ucsd.edu/ark:/20775/bb0137934q,1991-12-01,December 1991,1991-12-31,California Review,25,18,11289
http://library.ucsd.edu/ark:/20775/bb3960150z,1981-01-20,"January 20-February 2, 1981",1981-02-02,The New Indicator,37,0,14330
http://library.ucsd.edu/ark:/20775/bb4164930s,1977-03-15,"March 15-April 7, 1977",1977-04-07,The New Indicator,26,6,15848
http://library.ucsd.edu/ark:/20775/bb6622289q,1975-04-01,April 1975,1975-04-30,Ujima,28,40,13916
http://library.ucsd.edu/ark:/20775/bb06495408,1978-05-02,"May 2-15, 1978",1978-05-15,The New Indicator,15,7,10293
http://library.ucsd.edu/ark:/20775/bb03423692,1990-02-14,"February 14-27, 1990",1990-02-27,The New Indicator,10,3,13022
http://library.ucsd.edu/ark:/20775/bb6929806x,1992-02-01,February 1992,1992-02-29,California Review,56,10,19659
http://library.ucsd.edu/ark:/20775/bb0547152t,1980-01-22,"January 22-February 4, 1980",1980-02-04,The New Indicator,42,7,19330
http://library.ucsd.edu/ark:/20775/bb20147385,1974-05-01,"May, 1974",1974-05-31,Prensa Popular,54,4,41948
http://library.ucsd.edu/ark:/20775/bb5871429k,1985-06-01,June 1985,1985-06-30,California Review,55,2,19501
http://library.ucsd.edu/ark:/20775/bb62127304,1988-06-07,"June 7, 1988",1988-06-07,Revellations,35,15,9788
http://library.ucsd.edu/ark:/20775/bb6827070f,2004-05-01,May 2004,2004-05-31,California Review,40,1,6548
http://library.ucsd.edu/ark:/20775/bb14007454,2012-01-30,"January 30, 2012",2012-01-30,California Review,17,1,17271
http://library.ucsd.edu/ark:/20775/bb4403838t,1993-05-01,May 1993,1993-05-31,Revellations,1,7,2593
http://library.ucsd.edu/ark:/20775/bb91137786,1992-05-01,May 1992,1992-05-31,Revellations,0,0,3859
http://library.ucsd.edu/ark:/20775/bb0888448r,1966-05-22,"May 22, 1966",1966-05-22,Sandscript,5,0,6932
http://library.ucsd.edu/ark:/20775/bb11956213,1968-11-20,"November 20, 1968",1968-11-20,The Indicator,110,15,18890
http://library.ucsd.edu/ark:/20775/bb31068994,1990-01-17,"January 17-31, 1990",1990-01-31,The New Indicator,7,0,4276
http://library.ucsd.edu/ark:/20775/bb4676879v,1966-05-06,"May 6, 1966",1966-05-06,The Revelle Times,13,1,7932
http://library.ucsd.edu/ark:/20775/bb89431322,1976-02-25,"February 25, 1976",1976-02-25,The New Indicator,6,1,7386
http://library.ucsd.edu/ark:/20775/bb94892098,1983-01-01,January 1983,1983-01-31,California Review,60,10,22307
http://library.ucsd.edu/ark:/20775/bb14008793,1968-01-01,1968-1969,1969-12-31,The Indicator,21,0,6502
http://library.ucsd.edu/ark:/20775/bb4472100b,1990-06-12,"June 12, 1990",1990-06-12,Revellations,13,3,4160
http://library.ucsd.edu/ark:/20775/bb1707571j,1991-03-01,March 1991,1991-03-31,Revellations,0,0,1571
http://library.ucsd.edu/ark:/20775/bb7407276m,1973-11-12,"November 12-25, 1973",1973-11-25,North Star,38,6,22259
http://library.ucsd.edu/ark:/20775/bb71683667,1986-06-01,June 1986,1986-06-30,California Review,111,18,23233
http://library.ucsd.edu/ark:/20775/bb10932298,1981-10-06,"October 6-19, 1981",1981-10-19,The New Indicator,28,3,15957
http://library.ucsd.edu/ark:/20775/bb05471519,1968-03-01,"March 1, 1968",1968-03-01,The Indicator,8,2,2158
http://library.ucsd.edu/ark:/20775/bb8635959n,1973-02-01,February 1973,1973-02-28,Nine,1,0,3825
http://library.ucsd.edu/ark:/20775/bb97622461,1974-04-29,"April 29-May 12, 1974",1974-05-12,North Star,1,1,3854
http://library.ucsd.edu/ark:/20775/bb4267321q,2005-05-01,May 2005,2005-05-31,California Review,33,3,5616
http://library.ucsd.edu/ark:/20775/bb6554507s,1968-11-06,"November 06, 1968",1968-11-06,The Indicator,33,0,12842
http://library.ucsd.edu/ark:/20775/bb23560418,1979-12-04,"December 4, 1979-January 7, 1980",1980-01-07,The New Indicator,65,9,21580
http://library.ucsd.edu/ark:/20775/bb74072774,1974-10-01,October 1974,1974-10-31,Ujima,46,7,15571
http://library.ucsd.edu/ark:/20775/bb2356040r,1985-10-01,"October 1-14, 1985",1985-10-14,The New Indicator,26,4,16429
http://library.ucsd.edu/ark:/20775/bb4984047c,1977-01-24,"January 24-February 6, 1977",1977-02-06,The New Indicator,13,4,12616
http://library.ucsd.edu/ark:/20775/bb1742044v,2012-05-01,May 2012,2012-05-31,California Review,31,4,13464
http://library.ucsd.edu/ark:/20775/bb6792936w,1992-03-04,"March 4, 1992",1992-03-04,The New Indicator,9,10,12837
http://library.ucsd.edu/ark:/20775/bb2902118d,1967-02-17,"February 17, 1967",1967-02-17,The Indicator,16,1,6835
http://library.ucsd.edu/ark:/20775/bb9113777p,1990-01-03,"January 3-16, 1990",1990-01-16,The New Indicator,12,0,8986
http://library.ucsd.edu/ark:/20775/bb3038636d,1981-12-01,Winter 1981,1981-02-28,Revellations,15,8,4689
http://library.ucsd.edu/ark:/20775/bb1195620k,2001-12-01,December 2001,2001-12-31,The New Indicator,26,1,25221
http://library.ucsd.edu/ark:/20775/bb3072768c,1984-01-24,"January 24-February 6, 1984",1984-02-06,The New Indicator,31,16,20458
http://library.ucsd.edu/ark:/20775/bb7680320c,1980-04-15,"April 15-28, 1980",1980-04-28,The New Indicator,54,0,17433
http://library.ucsd.edu/ark:/20775/bb67246796,1983-02-01,"February 1-14, 1983",1983-02-14,The New Indicator,52,3,20787
http://library.ucsd.edu/ark:/20775/bb2902117w,1969-01-29,"January 29, 1969",1969-01-29,The Indicator,68,0,10577
http://library.ucsd.edu/ark:/20775/bb1298011h,1990-03-14,"March 14-April 3, 1990",1990-04-03,The New Indicator,19,4,18916
http://library.ucsd.edu/ark:/20775/bb1093228r,1987-02-27,"February 27, 1987",1987-02-27,Revellations,12,2,5341
http://library.ucsd.edu/ark:/20775/bb49158005,1987-03-01,March 1987,1987-03-31,California Review,45,6,23488
http://library.ucsd.edu/ark:/20775/bb9523337q,1966-10-28,"October 28, 1966",1966-10-28,The Indicator,37,8,13886
http://library.ucsd.edu/ark:/20775/bb6827072g,1982-10-20,"October 20-November 1, 1982",1982-11-01,The New Indicator,28,12,18763
http://library.ucsd.edu/ark:/20775/bb21853865,1988-12-01,December 1988,1988-12-31,California Review,18,0,6944
http://library.ucsd.edu/ark:/20775/bb1946478h,1983-12-06,"December 6-January 10, 1984",1984-01-10,The New Indicator,27,15,18124
http://library.ucsd.edu/ark:/20775/bb4335923t,2002-11-01,November 2002,2002-11-30,California Review,45,5,15802
http://library.ucsd.edu/ark:/20775/bb33458082,2001-09-01,September 2001,2001-09-30,The New Indicator,3,0,5741
http://library.ucsd.edu/ark:/20775/bb95574708,1972-02-08,"between February 8, 1972 and December 31, 1972",1972-12-31,Crazy Times,36,3,12782
http://library.ucsd.edu/ark:/20775/bb07177962,1984-03-06,"March 6-19, 1984",1984-03-19,The New Indicator,15,10,11684
http://library.ucsd.edu/ark:/20775/bb89431301,1975-04-01,April/May 1975,1975-05-31,Prensa Popular,13,9,27625
http://library.ucsd.edu/ark:/20775/bb4028409j,1987-10-02,"October 2, 1987",1987-10-02,Revellations,12,0,4527
http://library.ucsd.edu/ark:/20775/bb4369710p,1990-09-19,"September 19-October 2, 1990",1990-10-02,The New Indicator,0,0,15004
http://library.ucsd.edu/ark:/20775/bb6997719b,1985-10-02,"October 2, 1985",1985-10-02,The University Report,17,3,13807
http://library.ucsd.edu/ark:/20775/bb54618681,1993-02-01,February 1993,1993-02-28,Revellations,0,0,2199
http://library.ucsd.edu/ark:/20775/bb06836706,1977-02-01,February 1977,1977-02-28,Revellations,0,0,2446
http://library.ucsd.edu/ark:/20775/bb8089880g,1972-04-26,"April 26, 1972",1972-04-26,Dimension,22,1,4343
http://library.ucsd.edu/ark:/20775/bb5461871w,1978-12-05,"December 5, 1978",1978-12-05,People's Voice,20,9,12646
http://library.ucsd.edu/ark:/20775/bb7714449s,1983-09-27,"September 27-October 10, 1983",1982-10-10,The New Indicator,30,3,17391
http://library.ucsd.edu/ark:/20775/bb7543797j,1985-12-10,"December 10-January 6, 1986",1986-01-06,The New Indicator,12,3,10476
http://library.ucsd.edu/ark:/20775/bb08201877,1993-01-01,January-February 1993 (1992 on masthead),1993-02-28,Momentum,20,8,8357
http://library.ucsd.edu/ark:/20775/bb7680321w,1997-03-01,March 1997,1997-03-31,California Review,21,30,8014
http://library.ucsd.edu/ark:/20775/bb0922577q,2003-05-01,May 2003,2003-05-31,The New Indicator,8,2,12709
http://library.ucsd.edu/ark:/20775/bb1195622m,2004-06-01,June 2004,2004-06-30,California Review,33,8,10067
http://library.ucsd.edu/ark:/20775/bb5325351g,1965-10-07,"October 7, 1965",1965-10-07,Sandscript,0,0,2940
http://library.ucsd.edu/ark:/20775/bb12980100,1965-11-19,"November 19, 1965",1965-11-19,Sandscript,4,1,6139
http://library.ucsd.edu/ark:/20775/bb3038638f,1982-03-16,"March 16-30, 1982",1982-03-30,The New Indicator,13,2,6098
http://library.ucsd.edu/ark:/20775/bb3345807j,1993-03-01,March 1993,1993-03-31,Momentum,13,4,11176
http://library.ucsd.edu/ark:/20775/bb19464791,1985-04-23,"April 23-May 6, 1985",1985-05-06,The New Indicator,23,5,9622
http://library.ucsd.edu/ark:/20775/bb8226399j,1983-11-01,November-December 1983,1983-12-31,California Review,50,6,20973
http://library.ucsd.edu/ark:/20775/bb35505872,1967-09-26,"September 26, 1967",1967-09-26,The Indicator,66,1,10923
http://library.ucsd.edu/ark:/20775/bb17075701,1992-03-18,"March 18, 1992",1992-03-18,The New Indicator,26,3,13745
http://library.ucsd.edu/ark:/20775/bb39942768,1984-02-07,"February 7-20, 1984",1984-02-20,The New Indicator,49,4,16288
http://library.ucsd.edu/ark:/20775/bb4711008c,1967-01-27,"January 27, 1967",1967-01-27,The Indicator,38,3,7159
http://library.ucsd.edu/ark:/20775/bb2902119x,1984-10-01,October 1984,1984-10-31,California Review,45,2,16691
http://library.ucsd.edu/ark:/20775/bb9762247j,1976-04-20,"April 20-24, 1976",1976-04-24,The New Indicator,42,7,23149
http://library.ucsd.edu/ark:/20775/bb3038637x,1984-11-01,November-December 1984,1984-12-31,California Review,43,10,18975
http://library.ucsd.edu/ark:/20775/bb4984048w,1992-01-26,"January 26, 1992",1992-01-26,The New Indicator,36,32,30345
http://library.ucsd.edu/ark:/20775/bb01034597,1980-02-19,"February 19-March 3, 1980",1980-03-03,The New Indicator,21,2,14528
http://library.ucsd.edu/ark:/20775/bb21853886,1996-03-01,March 1996,1996-03-31,California Review,40,0,8915
http://library.ucsd.edu/ark:/20775/bb97963803,1989-04-11,"April 11, 1989",1989-04-11,Revellations,2,0,4206
http://library.ucsd.edu/ark:/20775/bb0683668v,1965-11-03,"November 3, 1965",1965-11-03,Sandscript,6,0,6368
http://library.ucsd.edu/ark:/20775/bb5427741z,1979-04-01,April 1979,1979-04-30,People's Voice,68,8,17419
http://library.ucsd.edu/ark:/20775/bb49499160,1966-11-23,"November 23, 1966",1966-11-23,The Indicator,10,0,5877
http://library.ucsd.edu/ark:/20775/bb0444759j,1990-06-01,Summer 1990,1990-08-31,The New Indicator,23,7,20171
http://library.ucsd.edu/ark:/20775/bb16051812,1968-02-20,"February 20, 1968",1968-02-20,The Indicator,46,1,11652
http://library.ucsd.edu/ark:/20775/bb25608194,1976-05-18,"May 18-24, 1976",1976-05-24,The New Indicator,45,10,15063
http://library.ucsd.edu/ark:/20775/bb78851029,1995-09-01,Fall 1995,1995-11-30,Revellations,0,4,5104
http://library.ucsd.edu/ark:/20775/bb67246801,1983-11-08,"November 8-21, 1983",1983-11-21,The New Indicator,56,6,17658
http://library.ucsd.edu/ark:/20775/bb3141027k,1966-04-22,"April 22, 1966",1966-04-22,The Revelle Times,20,1,7660
http://library.ucsd.edu/ark:/20775/bb0683669c,1974-03-05,"March 5, 1974",1974-03-05,Prensa Popular,23,8,22750
http://library.ucsd.edu/ark:/20775/bb5837300g,1989-01-01,January 1989,1989-01-31,California Review,29,5,13850
http://library.ucsd.edu/ark:/20775/bb9591600t,1979-05-07,"May 7, 1979",1979-05-07,The New Indicator,0,0,278
http://library.ucsd.edu/ark:/20775/bb14345273,1978-11-14,"November 14-27, 1978",1978-11-27,The New Indicator,36,6,13199
http://library.ucsd.edu/ark:/20775/bb5461870c,1976-06-01,June 1976,1976-06-30,Ujima,22,2,6939
http://library.ucsd.edu/ark:/20775/bb8533571h,1980-09-01,September 1980,1980-09-30,People's Voice,33,6,8610
http://library.ucsd.edu/ark:/20775/bb5291216b,1968-05-29,"May 29, 1968",1968-05-29,The Indicator,63,1,20697
http://library.ucsd.edu/ark:/20775/bb5905555r,1994-02-01,February 1994,1994-02-28,California Review,22,7,14469
http://library.ucsd.edu/ark:/20775/bb58373010,1979-02-01,February 1979,1979-02-28,People's Voice,66,17,15688
http://library.ucsd.edu/ark:/20775/bb2697817g,1969-10-15,"October 15, 1969",1969-10-15,The Indicator,16,1,13329
http://library.ucsd.edu/ark:/20775/bb94892103,1990-05-12,"May 12, 1990",1990-05-12,Revellations,9,4,4294
http://library.ucsd.edu/ark:/20775/bb2936247k,1987-10-30,"October 30, 1987",1987-10-30,Revellations,8,1,4763
http://library.ucsd.edu/ark:/20775/bb4949915g,1993-02-01,February 1993,1993-02-28,California Review,33,8,12147
http://library.ucsd.edu/ark:/20775/bb3857757f,2003-02-01,February 2003,2003-02-28,The New Indicator,17,0,19616
http://library.ucsd.edu/ark:/20775/bb40966674,1985-05-07,"May 7-20, 1985",1985-05-20,The New Indicator,14,4,10779
http://library.ucsd.edu/ark:/20775/bb60079474,1987-04-01,April-May 1987,1987-05-31,California Review,103,20,22982
http://library.ucsd.edu/ark:/20775/bb64175101,1982-05-24,"May 24, 1982",1982-05-24,California Review,67,16,14033
http://library.ucsd.edu/ark:/20775/bb51205702,1978-05-30,"May 30-June 11, 1978",1978-06-11,The New Indicator,7,0,7422
http://library.ucsd.edu/ark:/20775/bb7885101s,1987-04-01,April 1987,1987-04-30,Revellations,0,0,1754
http://library.ucsd.edu/ark:/20775/bb8704216t,1989-11-27,"November 27, 1989",1989-11-27,Revellations,12,6,4811
http://library.ucsd.edu/ark:/20775/bb45403585,1989-01-01,January 1989,1989-01-31,California Review,10,4,11344
http://library.ucsd.edu/ark:/20775/bb31751578,1985-11-26,"November 26-December 9, 1985",1985-12-09,The New Indicator,48,5,12929
http://library.ucsd.edu/ark:/20775/bb6861199j,1984-05-29,"May 29-June 11, 1984",1984-06-11,The New Indicator,44,7,20786
http://library.ucsd.edu/ark:/20775/bb1161489f,1987-10-27,"October 27-November 9, 1987",1987-11-09,The New Indicator,30,6,12842
http://library.ucsd.edu/ark:/20775/bb4199055h,1977-03-06,"March 6-20, 1977",1977-03-20,The New Indicator,11,0,9221
http://library.ucsd.edu/ark:/20775/bb8772478g,1970-11-18,"November 18, 1970",1970-11-18,Third World,49,3,9079
http://library.ucsd.edu/ark:/20775/bb7987491n,1982-02-02,"February 2-15, 1982",1982-02-15,The New Indicator,27,26,15205
http://library.ucsd.edu/ark:/20775/bb2390167t,1979-10-23,"October 23-November 5, 1979",1979-11-05,The New Indicator,26,6,13345
http://library.ucsd.edu/ark:/20775/bb8328791c,1981-04-28,"April 28-May 11, 1981",1981-05-11,The New Indicator,20,0,12848
http://library.ucsd.edu/ark:/20775/bb1161488x,1976-10-25,"October 25, 1976",1976-10-25,The New Indicator,4,0,3554
http://library.ucsd.edu/ark:/20775/bb5700778d,1987-06-15,June 15-September 1987,1987-09-30,The New Indicator,28,45,22614
http://library.ucsd.edu/ark:/20775/bb59055568,1965-04-28,"April 28, 1965",1965-04-28,Sandscript,9,0,3913
http://library.ucsd.edu/ark:/20775/bb1878219v,1978-03-21,"March 21-April 3, 1978",1978-04-03,The New Indicator,12,1,6783
http://library.ucsd.edu/ark:/20775/bb0990840t,1984-03-20,"March 20-April 3, 1984",1984-04-03,The New Indicator,16,11,10166
http://library.ucsd.edu/ark:/20775/bb42331871,1981-11-17,"November 17-December 1, 1981",1981-12-01,The New Indicator,21,13,8001
http://library.ucsd.edu/ark:/20775/bb8704217b,1968-09-25,"September 25, 1968",1968-09-25,The Indicator,24,2,12200
http://library.ucsd.edu/ark:/20775/bb38236288,1991-06-01,June 1991,1991-06-30,California Review,21,4,13298
http://library.ucsd.edu/ark:/20775/bb3311681m,1978-04-18,"April 18-May 2, 1978",1978-05-02,The New Indicator,36,0,6931
http://library.ucsd.edu/ark:/20775/bb4540357n,1979-03-20,"March 20-April 2, 1979",1979-04-02,The New Indicator,37,9,14964
http://library.ucsd.edu/ark:/20775/bb8328790v,1968-04-10,"April 10, 1968",1968-04-10,The Indicator,64,1,13304
http://library.ucsd.edu/ark:/20775/bb6212739s,1985-11-01,November-December 1985,1985-12-31,California Review,37,13,21531
http://library.ucsd.edu/ark:/20775/bb8772477z,1965-02-10,"February 10, 1965",1965-02-10,Sandscript,24,3,12865
http://library.ucsd.edu/ark:/20775/bb41990561,1977-11-22,"November 22-December 5, 1977",1977-12-05,The New Indicator,27,7,7014
http://library.ucsd.edu/ark:/20775/bb79874925,1978-02-21,"February 21-March 6, 1978",1978-03-06,The New Indicator,9,0,6980
http://library.ucsd.edu/ark:/20775/bb6792937d,1991-01-02,"January 2, 1991",1991-01-02,The New Indicator,2,1,1793
http://library.ucsd.edu/ark:/20775/bb5188828q,1987-04-13,"April 13-May 5, 1987",1987-05-05,The New Indicator,25,11,17365
http://library.ucsd.edu/ark:/20775/bb85335700,1982-12-01,Winter 1982,1982-02-28,Revellations,9,10,3303
http://library.ucsd.edu/ark:/20775/bb5427740f,1986-10-07,"October 7-20, 1986",1986-10-20,The New Indicator,9,2,17306
http://library.ucsd.edu/ark:/20775/bb5871431x,1965-03-19,"March 19, 1965",1965-03-19,Sandscript,7,3,5590
http://library.ucsd.edu/ark:/20775/bb6622290j,1965-03-03,"March 3, 1965",1965-03-03,Sandscript,8,2,7367
http://library.ucsd.edu/ark:/20775/bb33116803,1987-09-01,Fall 1987,1987-11-30,People's Voice,22,2,7161
http://library.ucsd.edu/ark:/20775/bb1366268t,1989-02-06,"February 6-20, 1989",1989-02-20,The New Indicator,12,3,6906
http://library.ucsd.edu/ark:/20775/bb96257297,1987-03-13,"March 13, 1987",1987-03-13,Revellations,11,13,5726
http://library.ucsd.edu/ark:/20775/bb2936249m,1991-03-01,March 1991,1991-03-31,Revellations,24,4,6301
http://library.ucsd.edu/ark:/20775/bb4199057j,1983-10-01,October 1983,1983-10-31,California Review,87,8,22961
http://library.ucsd.edu/ark:/20775/bb81922699,1981-02-03,"February 3-16, 1981",1981-02-16,The New Indicator,31,8,16707
http://library.ucsd.edu/ark:/20775/bb48134006,1992-06-01,June 1992,1992-06-30,Momentum,26,2,13607
http://library.ucsd.edu/ark:/20775/bb69977179,1982-11-02,"November 2-18, 1982",1982-11-18,The New Indicator,19,5,21429
http://library.ucsd.edu/ark:/20775/bb5359479t,1983-12-01,Winter 1983,1983-02-28,Revellations,4,4,3313
